"geonameid","name","asciiname","latitude","longitude","country_code","admin1_code","admin1_name","population","timezone","hl","gl"
"3452925","Porto Alegre","Porto Alegre","-30.03283","-51.23019","BR","23","Rio Grande do Sul","1488252","America/Sao_Paulo","pt","BR"
"5125771","Manhattan","Manhattan","40.78343","-73.96625","US","NY","New York","1487536","America/New_York","en","US"
"3439389","Asunción","Asuncion","-25.28646","-57.647","PY","22","Asunción","1482200","America/Asuncion","es","PY"
"3979770","Zapopan","Zapopan","20.72356","-103.38479","MX","14","Jalisco","1476491","America/Mexico_City","es","MX"
"4726206","San Antonio","San Antonio","29.42412","-98.49363","US","TX","Texas","1434625","America/Chicago","en","US"
"5391811","San Diego","San Diego","32.71571","-117.16472","US","CA","California","1394928","America/Los_Angeles","en","US"
"4005539","Guadalajara","Guadalajara","20.67738","-103.34749","MX","14","Jalisco","1385629","America/Mexico_City","es","MX"
"5110266","The Bronx","The Bronx","40.84985","-73.86641","US","NY","New York","1385108","America/New_York","en","US"
"3860259","Córdoba","Cordoba","-31.40648","-64.18853","AR","05","Cordoba","1317298","America/Argentina/Cordoba","es","AR"
"4684888","Dallas","Dallas","32.78306","-96.80667","US","TX","Texas","1300092","America/Chicago","en","US"
"3946083","Callao","Callao","-12.05162","-77.13452","PE","07","Callao","1300000","America/Lima","es","PE"
"3441575","Montevideo","Montevideo","-34.90328","-56.18816","UY","10","Montevideo Department","1270737","America/Montevideo","es","UY"
"3648522","Barquisimeto","Barquisimeto","10.0647","-69.35703","VE","13","Lara","1240714","America/Caracas","es","VE"
"3718426","Port-au-Prince","Port-au-Prince","18.54349","-72.33881","HT","11","Ouest","1234742","America/Port-au-Prince","fr","HT"
"3689147","Barranquilla","Barranquilla","10.96854","-74.78132","CO","04","Atlántico","1206319","America/Bogota","es","CO"
"3523349","Mérida","Merida","20.967","-89.62318","MX","31","Yucatán","1201000","America/Merida","es","MX"
"3492914","Santiago de los Caballeros","Santiago de los Caballeros","19.45036","-70.69085","DO","25","Santiago Province","1200000","America/Santo_Domingo","es","DO"
"3514674","Gustavo Adolfo Madero","Gustavo Adolfo Madero","19.49392","-99.11075","MX","09","Mexico City","1185772","America/Mexico_City","es","MX"
"3461786","Guarulhos","Guarulhos","-23.46278","-46.53333","BR","27","São Paulo","1169577","America/Sao_Paulo","pt","BR"
"3995465","Monterrey","Monterrey","25.68435","-100.31721","MX","19","Nuevo León","1135512","America/Monterrey","es","MX"
"3530589","Ciudad Nezahualcoyotl","Ciudad Nezahualcoyotl","19.40061","-99.01483","MX","15","México","1104585","America/Mexico_City","es","MX"
"3996069","Mexicali","Mexicali","32.62781","-115.45446","MX","02","Baja California","1032686","America/Tijuana","es","MX"
"3395981","Maceió","Maceio","-9.66583","-35.73528","BR","02","Alagoas","1031597","America/Maceio","pt","BR"
"3467865","Campinas","Campinas","-22.90556","-47.06083","BR","27","São Paulo","1031554","America/Sao_Paulo","pt","BR"
"5392171","San Jose","San Jose","37.33939","-121.89496","US","CA","California","1026908","America/Los_Angeles","en","US"
"5913490","Calgary","Calgary","51.05011","-114.08529","CA","01","Alberta","1019942","America/Edmonton","en","CA"
"5946768","Edmonton","Edmonton","53.55014","-113.46871","CA","01","Alberta","1010899","America/Edmonton","en","CA"
"3947322","Arequipa","Arequipa","-16.39899","-71.53747","PE","04","Arequipa","1008290","America/Lima","es","PE"
"3598132","Guatemala City","Guatemala City","14.64072","-90.51327","GT","07","Guatemala","994938","America/Guatemala","es","GT"
"4671654","Austin","Austin","30.26715","-97.74306","US","TX","Texas","974447","America/Chicago","en","US"
"3617763","Managua","Managua","12.13282","-86.2504","NI","10","Managua Department","973087","America/Managua","es","NI"
"4160021","Jacksonville","Jacksonville","30.33218","-81.65565","US","FL","Florida","954614","America/New_York","en","US"
"3645528","Ciudad Guayana","Ciudad Guayana","8.35122","-62.64102","VE","06","Bolívar","950000","America/Caracas","es","VE"
"3838583","Rosario","Rosario","-32.94682","-60.63932","AR","21","Santa Fe","948312","America/Argentina/Cordoba","es","AR"
"3489854","Kingston","Kingston","17.99702","-76.79358","JM","17","Kingston","937700","America/Jamaica","en","JM"
"4014338","Chihuahua","Chihuahua","28.63528","-106.08889","MX","06","Chihuahua","925762","America/Chihuahua","es","MX"
"3691175","Trujillo","Trujillo","-8.11599","-79.02998","PE","13","La Libertad","919899","America/Lima","es","PE"
"4691930","Fort Worth","Fort Worth","32.72541","-97.32085","US","TX","Texas","918915","America/Chicago","en","US"
"3388368","São Luís","Sao Luis","-2.52972","-44.30278","BR","13","Maranhão","917237","America/Fortaleza","pt","BR"
"3687238","Cartagena","Cartagena","10.39817","-75.49328","CO","35","Bolívar","914552","America/Bogota","es","CO"
"4509177","Columbus","Columbus","39.96118","-82.99879","US","OH","Ohio","913175","America/New_York","en","US"
